CORP,FLEET,UNIT,LOG
1,5868,800882,7870326
1,1838,28077,7871473
1,3806,24927,7871808
1,358,83376,7872442
1,5868,800908,7880283
1,5868,800912,7880293
1,358,83644,7883811
1,5029,289803,7885849
1,4633,28061,7886962
98,308261,2008200,7888541
1,5868,0800991X,7900302
1,5868,0801028X,7902216
98,308417,347,7903721
1,6403,277529,7907876
1,6403,277687,7908763
1,5778,277724,7908805
1,5778,277872,7909793
1,5778,277875,7909798
1,3703,208235,7910598
1,7427,28796,7913846
1,4749,2703,7913874
1,7427,28797,7914700
1,3066,28051,7915195
1,4874,124,7919885
1,3496,2403065,7922065
98,204309,453,7923184
98,204309,465,7924538
98,92688,20080086,7924564
1,5868,0801064X,7924959
1,3703,208274,7933376
1,5868,0801084X,7933695
1,5868,0801104X,7936227
1,5868,0801112X,7936859
1,5868,0801178X,7937346
98,95750,1,7937603
1,6655,4021,7937895
1,3496,2415029,7939172
1,3943,28117,7939246
1,3943,28118,7939248
1,3943,28123,7939255
1,3943,28129,7939262
1,3943,28138,7939288
1,3943,28145,7939297
1,3943,28147,7939299
1,3943,28151,7939303
1,3943,28152,7939304
1,3943,28183,7939703
1,3943,28212,7940120
1,5868,0801144X,7940827
1,3703,208307,7943195
1,5868,0801217X,7958412
1,101359,35002,7962311
1,5868,900102,7965965
1,5868,900103,7965966
1,101359,808,7972641
1,5868,1000002,7978403
1,101359,80453,7979983
1,101359,30995,7979989
1,101359,82111,7979997
1,101359,77413,7979998
1,101359,88167,7982623
1,5868,1000017,7986232
1,4290,4356,7986253
98,702260,9,7988256
1,61,49057,8002805
1,61,49111,8006041
1,61,49112,8006042
1,4702,29007,8008509
1,61,49132,8010982
1,101359,161486,8012265
1,101359,113290,8012272
98,308338,2009002,8017460
1,3943,1390,8017823
1,61,49151,8017828
1,101359,143774,8028782
1,61,49166,8032031
1,5792,11931435,8034044
98,308025,CAR658  ,8041934
1,101359,124709,8044464
1,3703,209050,8048522
1,102011,2008119,8048803
1,358,84059,8052569
1,8199,370891,8062008
1,8199,24082,8062469
1,508123,29039,8065247
1,7427,29030,8065551
1,406,29111,8080907
1,4952,200906,8081812
1,3496,2413033,8088277
1,3059,8524,8088769
1,100845,9909469,8088775
1,3059,8566,8088811
1,100077,711,8092712
1,3496,2405049,8093904
1,3496,2405050,8093913
1,2344,28053,8098513
1,4938,911,8099991
1,3496,2407070,8102191
1,3496,2407071,8102199
1,3496,2407072,8102201
1,3496,2408073,8102214
1,4677,28094,8106908
1,61,49211,8109064
1,61,49214,8109067
1,61,49227,8109472
1,101896,11344617,8111989
1,4879,479,8113162
1,61,49317,8116745
1,1518,200923,8118359
1,4386,29040,8118621
98,92688,20090087,8119460
1,6976,440461,8120487
1,4738,91394,8121123
1,4738,91387,8121154
1,3066,29177,8123600
98,204309,498,8124950
1,4714,2009130,8133913
1,4709,201002,8135460
1,4714,2009148,8150493
1,4643,3,8152732
1,61,30011,8154530
1,61,30013,8154538
98,300200,18,8154949
1,4406,9682,8156127
98,204109,21,8156844
1,406,10034,8157826
1,4711,21086,8157918
1,4411,21102,8158755
1,358,99075,8158917
1,4702,21028,8159168
1,4702,21029,8159635
98,308261,2010040,8162224
98,610005,201004,8168167
1,61,30116,8170035
1,4411,21160,8172052
1,61,30137,8177936
98,76139,20065140,8179641
1,5432,10065,8180387
1,113818,94,8180402
1,113818,115,8180423
1,101380,289,8180797
1,3496,2413035,8184317
1,3496,2413036,8184324
1,6976,452619,8187454
1,3496,1103029,8187472
1,2344,100089,8187856
1,101380,296,8188364
1,101380,317,8188504
1,101380,324,8189906
1,4776,2010091,8190681
1,4709,201019,8190693
98,226993,852,8190766
1,5432,10173,8191873
98,308261,2010075,8192535
1,3496,2414010,8192972
1,101896,11065102,8193581
1,100077,804,8195190
98,309235,201001,8196839
98,226993,931,8197192
98,226993,956,8197602
1,3496,2403069,8198061
1,3496,2403072,8198070
1,3496,2403073,8198071
1,3703,209106,8198078
98,75060,139,8201558
98,204309,518,8202896
98,204309,517,8202898
1,6976,452726,8203300
1,6976,452748,8205344
98,204309,514,8205624
98,204309,519,8205626
1,100845,9910351,8206505
1,100845,9910415,8206826
1,4682,28256,8206931
1,100845,9910433,8206956
1,4702,21032,8207446
1,100845,9910528,8209033
1,4702,21033,8209126
1,4691,MUSK010 ,8209610
98,308261,2010111,8209645
98,308261,2010115,8209698
1,100845,9910597,8209905
98,308261,2010131,8210489
1,100845,9910610,8210505
1,100845,9910616,8210513
1,100845,9910619,8211935
1,3496,1112010,8213244
1,3496,1112011,8214701
1,123026,726337,8214923
1,100845,9910719,8215154
98,76139,20105141,8215549
1,61,30151,8215817
1,61,30152,8215872
1,61,30166,8216849
1,123026,726338,8217578
1,6976,459300,8218340
1,123026,726343,8220947
98,72658,27275,8221182
1,103754,9910103,8222714
1,3104,71025,8223969
1,103754,9910119,8226398
1,3104,71094,8226495
1,123026,726347,8226900
98,308361,202,8228789
1,4386,20028,8229038
1,6403,278277,8229069
1,5778,278303,8229141
1,102380,274658,8230651
1,6976,459327,8244111
1,358,84351,8245551
1,358,84363,8245570
1,358,84383,8245589
1,358,84390,8245596
1,102204,1899,8245616
1,123026,726352,8246128
1,123026,726363,8246344
1,358,84422,8246570
1,1512,10007,8247441
1,1512,10008,8247500
1,1512,10009,8247503
1,123026,726372,8247592
1,123026,726374,8247594
1,358,84461,8248455
1,100845,9910799,8251969
1,61,30361,8252128
1,123026,726380,8253806
1,508123,10016,8254986
1,100845,7710017,8255409
