CORP,FLEET,UNIT,LOG
1,4905,8815,8512422
1,4905,8817,8512424
1,4905,8818,8512425
1,4905,8823,8512430
1,4905,8835,8512442
1,101823,20110018,8512632
1,4938,1207,8512766
1,4905,8850,8512795
1,4905,8852,8512798
1,4905,8855,8512801
1,4905,8884,8512853
1,4905,8912,8512881
1,4905,8921,8512890
1,4905,8945,8512914
1,4905,8950,8512919
1,4905,8956,8512926
1,4905,9014,8512987
1,4905,9033,8513006
1,4905,9041,8513014
1,4905,9054,8513028
1,4905,9092,8513348
1,4905,9099,8513360
1,4905,9100,8513361
1,358,11090,8513375
1,358,11138,8513452
1,358,11179,8513498
1,358,11191,8513511
1,358,11306,8514220
1,358,11337,8514262
98,702004,138,8514281
1,358,11355,8514292
1,161,62220,8514294
1,358,11378,8514388
1,6976,482069,8514475
1,4387,120267,8514680
1,5393,291153,8514954
1,358,11429,8514970
1,4387,120280,8514995
1,4387,120315,8515043
1,358,11439,8515975
1,358,11448,8515984
1,4387,120353,8515997
1,4387,120437,8516242
1,4411,211241,8516294
98,308299,28494,8516322
1,6976,482093,8516544
1,4387,120481,8516598
1,123026,726647,8517471
98,308299,28529,8517734
98,702010,2008570,8517743
1,123026,726648,8517791
1,358,11501,8518285
98,702004,231,8518340
1,6976,482124,8519197
1,5778,T20625  ,8519791
1,5681,29190,8519932
1,102380,274942,8519936
1,358,11518,8520369
1,102380,274943,8520521
98,702004,240,8520561
98,309273,308,8521974
1,5678,13535,8522374
1,123026,726649,8523260
1,5943,2010080,8524195
1,2344,120071,8524331
1,2344,120086,8524354
1,123026,726650,8524491
1,5678,13679,8531234
1,5678,13696,8531422
98,313551,20110010,8531889
1,5678,13738,8531941
1,5678,13755,8531983
1,5678,13783,8532898
1,6976,482156,8533045
1,2344,120326,8533621
98,30741,214,8533683
1,2344,120435,8533766
1,3066,12135,8533783
1,100845,9912009,8533830
1,5678,13834,8535175
98,226993,1226,8535322
98,226993,1241,8535383
98,226993,1255,8535414
1,6031,120001,8535755
1,6031,120041,8535857
1,100845,9912032,8535940
1,6031,120103,8535991
1,6031,120123,8536023
1,6031,120153,8536087
1,101373,477,8536117
1,6031,120185,8536145
1,6031,120199,8536160
1,6031,120203,8536165
1,6031,120209,8536173
1,6031,120234,8536201
1,6031,120321,8536338
1,6031,120337,8536358
1,6031,120360,8536413
1,6031,120402,8536501
1,6031,120427,8536533
1,6031,120478,8536602
1,6031,120583,8536744
1,6031,120605,8536767
1,6031,120658,8536819
1,6031,120658,8536819
1,6031,120667,8536828
1,6031,120731,8536893
1,6031,120814,8536983
1,6031,120836,8537004
1,6031,120840,8537008
1,6031,120867,8537036
1,6031,120878,8537048
1,6031,120905,8537075
1,6031,120910,8537080
1,6031,120929,8537101
1,6031,120932,8537104
1,6031,120941,8537113
1,6031,121085,8537255
1,6031,121136,8537311
1,6031,121143,8537319
1,6031,121180,8537358
1,6031,121199,8537387
1,6031,121230,8537515
1,6031,121233,8537518
1,6031,121251,8537536
1,6031,121315,8537601
1,6031,121322,8537608
1,6031,121345,8537632
1,6031,121361,8537649
1,6031,121410,8537750
1,100845,9912040,8537825
1,6031,121447,8537868
1,123026,726658,8538132
1,6031,121723,8538278
1,6031,121769,8538416
1,6031,121800,8540651
1,123026,726660,8540774
1,6031,121917,8540888
1,6031,121975,8540975
1,100845,9912060,8541003
1,6031,121987,8541007
1,6031,122070,8541154
1,6031,122076,8541161
1,6031,122176,8541316
1,6031,122239,8541425
1,6031,122241,8541430
1,6031,122246,8541440
1,5678,13871,8542194
1,6031,122326,8542195
1,6031,122334,8542202
1,6031,122375,8542247
1,6031,122443,8542327
1,6031,122486,8542466
1,6031,122540,8542531
1,6031,122548,8542539
1,6031,122621,8542628
1,6031,122682,8542722
1,6031,122710,8542758
1,6031,122755,8542817
1,6031,122756,8542818
1,6031,122771,8542836
1,6031,122823,8542896
1,6031,122885,8542994
1,6031,122905,8543036
1,6031,122910,8543043
1,6031,122922,8543061
1,6031,122937,8543088
1,6031,123025,8543254
1,6031,123104,8543380
98,308261,2012010,8543411
1,6031,123208,8543685
1,6031,123929,8543898
1,6031,124060,8544524
1,6031,124079,8544603
1,6031,124119,8544654
1,6031,124154,8544691
1,6031,124333,8544917
1,6031,124405,8544997
1,6031,124441,8545093
1,101027,1200813,8545217
1,6031,124550,8545251
1,100845,9912070,8545270
1,7680,22334,8545285
1,6031,124718,8545581
1,6031,124744,8545629
1,6031,124971,8546645
1,6031,125028,8546702
1,358,11637,8547159
1,6031,125235,8547330
1,6031,125238,8547340
98,30741,219,8547421
1,6031,125305,8547558
98,308261,2012023,8547613
98,30741,222,8547631
1,6031,125339,8547639
1,6031,125380,8547769
1,6031,125434,8548075
1,6031,125468,8548123
1,6031,125471,8548128
1,6031,125533,8548230
98,308261,2012032,8548268
1,6031,125633,8548850
1,6031,125633,8548850
1,6031,125787,8549184
1,6031,125839,8549274
98,308361,283,8549427
1,6031,125974,8550879
1,5678,13913,8550929
1,6031,126077,8551016
1,6031,126127,8551070
1,6031,126254,8551276
1,3943,1640,8551374
1,6031,126642,8551984
1,6031,126778,8552140
1,6031,126778,8552140
1,6031,126797,8552221
1,6031,126875,8552299
1,6031,126927,8552352
1,6976,482185,8552798
1,102100,21280,8552878
1,358,11682,8554720
1,5432,10781,8556285
1,358,11689,8556947
1,123026,726665,8557734
1,107546,254727,8557790
1,107546,254738,8557800
1,7680,22395,8558030
1,917,22387,8558287
1,107546,254749,8558374
1,358,11706,8559565
1,1781,71261,8559846
1,4352,2010351,8560570
1,5393,291218,8560614
1,3943,12520,8560757
1,3943,12538,8560776
1,3943,12553,8560791
1,3703,211537,8560938
1,3066,12579,8560987
1,358,11725,8561696
98,702006,82,8561932
1,358,11737,8562948
1,100845,9912126,8563666
1,100845,9912128,8563668
1,100845,9912139,8563680
1,100845,9912161,8564667
1,7236,212091,8564741
1,4938,1209,8565563
1,100845,9912183,8565821
1,105155,11,8566284
1,917,22397,8567696
1,7680,22528,8567979
1,100845,9912205,8569006
98,308163,308,8570037
1,2344,120690,8570160
1,5721,13,8570219
1,5678,13980,8570283
98,313670,2012038,8571066
1,100845,9912227,8572941
1,100845,9912229,8572948
1,5724,121245,8573410
1,4716,20,8573430
1,100845,9912256,8573773
1,100845,9912290,8573807
1,100845,9912292,8573809
1,100845,9912299,8573817
1,100845,9912301,8574628
1,3943,1679,8575068
1,100845,9912321,8575566
1,100845,9912343,8575591
1,4682,28351,8576265
1,5393,291242,8577897
1,5393,291246,8577901
1,5393,291328,8577999
1,5393,291342,8578016
1,5393,291366,8578130
1,123026,726669,8578215
1,5393,291468,8578531
1,5393,291512,8578577
1,6031,127344,8578589
1,6031,127344,8578589
98,308299,28665,8578609
1,496,2242,8578793
1,406,12065,8579947
1,6518,0002206S,8580503
1,5680,27126,8580543
1,5393,291707,8580609
1,5681,29221,8580729
1,6031,127378,8581142
1,4672,29882,8581935
1,5393,291764,8581957
1,5393,291765,8581958
1,4672,29888,8582249
1,4672,29892,8582253
1,4672,29930,8585813
1,3943,1682,8586485
1,406,12084,8586924
1,4672,29954,8587418
1,5721,23,8587442
1,4071,22529,8591844
1,4071,22532,8591847
1,4071,22545,8591861
1,123026,726670,8591913
1,101027,1200981,8592400
1,4071,22581,8593365
1,4071,22596,8593380
1,5393,291889,8593853
1,358,12010,8594776
1,4071,22609,8594812
1,102204,2705,8594863
1,102204,2715,8594873
1,358,12053,8595337
1,101027,1201029,8595558
1,102204,2767,8595951
1,358,12070,8596036
1,123026,726672,8597675
1,161,62398,8598694
1,358,12098,8598791
1,4663,29126,8599260
1,358,12109,8599693
1,4992,0004948L,8599744
1,161,62631,8600226
1,5984,1043,8601167
1,5432,12124,8601578
1,161,62709,8603331
1,102204,2975,8603346
1,4706,21068,8603372
1,123026,726694,8603878
1,3943,1702,8606980
1,103754,9912131,8607531
1,3943,11683,8607923
1,4656,144,8608988
1,5681,29259,8611117
1,3943,1696,8613154
1,4961,CN179741,8613299
1,4961,CN183882,8613300
1,4961,CN179714,8613310
1,4961,CN179749,8613311
1,4961,CN179720,8613314
1,4961,CN183888,8613320
1,4961,CH182981,8613325
1,4961,CN179724,8613326
1,4961,CN183695,8613327
1,4961,CN183895,8613328
1,4961,CH183346,8613329
1,4961,CN179727,8613330
1,4961,CN183697,8613331
1,4961,CN179730,8613338
1,4961,CN179441,8613345
1,4961,CN183729,8613355
1,4961,CN184060,8613359
1,4961,CH176198,8613360
1,4961,CN179448,8613362
1,4961,CD575345,8613369
1,4961,CN184065,8613371
1,4961,CN179454,8613374
1,4961,CH185086,8613376
1,4961,CH185089,8613380
1,4961,CD575357,8613385
1,4961,CN184071,8613387
1,4961,CD575361,8613393
1,4961,CN184076,8613395
1,4961,CN184077,8613399
1,4961,CD575364,8613401
1,4961,CD575365,8613405
1,4961,CD575419,8613411
1,4961,CD594975,8613416
1,4961,CD594979,8613420
1,4961,CD575376,8613422
1,4961,CD594984,8613436
1,4961,CD602902,8613444
1,4961,CD575407,8613450
1,4961,CC197247,8613452
1,4961,CD575410,8613454
1,4961,CD594958,8613455
1,4961,CD575411,8613458
1,4961,CD575413,8613462
1,4961,CC240508,8613472
1,4961,CC228401,8613475
1,4961,CT228373,8613477
1,4961,CT228374,8613481
1,4961,CC217668,8613482
1,4961,CT228375,8613485
1,4961,CT228376,8613489
1,4961,CC217671,8613490
1,4961,CC240489,8613495
1,4961,CT228378,8613497
1,4961,CC240525,8613500
1,4961,CC240552,8613512
1,4961,CC240500,8613515
1,4961,CC264248,8613520
1,4961,CT228386,8613521
1,4961,CC240505,8613523
1,4961,CC240506,8613527
1,4961,CT228371,8613528
1,4961,CR237834,8613533
1,4961,CT228391,8613534
1,4961,CT233389,8613538
1,4961,CT236845,8613550
1,4961,CR237820,8613552
1,4961,CT236846,8613554
1,4961,CR217289,8613555
1,4961,CR237842,8613557
1,4961,CT244112,8613558
1,4961,CR237825,8613568
1,4961,CR237845,8613569
1,4961,CR237826,8613572
1,4961,CR237827,8613576
1,4961,CR172326,8613578
1,4961,CR237830,8613584
1,4961,CR237853,8613594
1,4961,CR237854,8613598
1,4961,CC197377,8613600
1,4961,CC211263,8613604
1,4961,CC240580,8613609
1,4961,CR237857,8613610
1,4961,CC216383,8613612
1,4961,CR237882,8613619
1,4961,CR237863,8613622
1,4961,CR237864,8613626
1,4961,CC240593,8613629
1,4961,CC154309,8613635
1,4961,CC217722,8613636
1,4961,CC154317,8613639
1,4961,CC217726,8613640
1,4961,CR237868,8613642
1,4961,CC240602,8613645
1,4961,CC240609,8613654
1,4961,CT225333,8613661
1,4961,CC240623,8613662
1,4961,CT182504,8613667
1,4961,CT225349,8613673
1,4961,CT225309,8613676
1,4961,CT225350,8613677
1,4961,CC240637,8613678
1,4961,CT225354,8613681
1,4961,CC240646,8613682
1,4961,CT185174,8613683
1,4961,CC240653,8613690
1,4961,CC240655,8613694
1,4961,CT225319,8613696
1,4961,CT225321,8613704
1,4961,CT225296,8613707
1,4961,CT228813,8613710
1,4961,CT229468,8613719
1,4961,CT230219,8613720
1,4961,CT228827,8613722
1,4961,CT229469,8613723
1,4961,CT230244,8613725
1,4961,CT228829,8613726
1,4961,CT230250,8613737
1,4961,CT228833,8613738
1,4961,CT230227,8613740
1,4961,CT230252,8613741
1,4961,CT230229,8613748
1,4961,CT229455,8613750
1,4961,CT230233,8613756
1,4961,CT231391,8613757
1,4961,CT230236,8613760
1,4961,CT229461,8613762
1,4961,CT229462,8613766
1,4961,CT231396,8613770
1,4961,CT231398,8613778
1,4961,CT238094,8613779
1,4961,CT231399,8613782
1,4961,CT239696,8613787
1,4961,CT231402,8613794
1,4961,CT243289,8613795
1,4961,CW147608,8613797
1,4961,CW148087,8613809
1,4961,CD558726,8613817
1,4961,CW147593,8613820
1,4961,CT238086,8613822
1,4961,CW129607,8613827
1,4961,CD574698,8613829
1,4961,CD575398,8613832
1,4961,CD574710,8613838
1,4961,CD575356,8613839
1,4961,CD575403,8613840
1,4961,CD574714,8613842
1,4961,CD574716,8613850
1,4961,CD575444,8613857
1,4961,CD575445,8613861
1,4961,CD575371,8613863
1,4961,CD575378,8613871
1,4961,CD575394,8613879
1,4961,CD575396,8613887
1,4961,CD594954,8613889
1,4961,CR223539,8613893
1,4961,CS199343,8613896
1,4961,CG171239,8613899
1,4961,CR223545,8613901
1,4961,CD594965,8613906
1,4961,CD594978,8613918
1,4961,CS189306,8613923
1,4961,CS205784,8613924
1,4961,CR229149,8613925
1,4961,CD618938,8613930
1,4961,CR217468,8613932
1,4961,CR223525,8613940
1,4961,CL178682,8613956
1,4961,CL196678,8613960
1,4961,CL196681,8613963
1,4961,CL191203,8613967
1,4961,CL197032,8613978
1,4656,147,8614798
1,358,12181,8618539
1,5393,291972,8618540
1,6031,127647,8619076
1,123026,726731,8620949
1,5678,14009,8621269
1,123026,726732,8624819
1,3496,1210017,8626516
1,4961,CT310838,8626838
1,3066,12988,8628020
1,3066,121003,8628383
1,3066,121065,8628580
1,3066,121067,8628582
1,3066,121088,8628604
1,3066,121151,8630292
1,5678,14015,8631227
1,7194,201201,8631612
1,123026,726733,8633035
1,123026,726734,8633415
1,3652,83342,8633698
1,100077,1199,8635034
1,8199,371649,8635514
1,6403,278420,8639964
1,5789,218365,8640665
1,6031,127667,8643336
1,123026,726744,8643392
1,3066,121331,8644166
98,309273,415,8644824
1,3943,11589,8648592
98,702004,319,8649111
1,5724,122272,8650050
1,5724,122605,8650604
98,702005,291,8650615
1,5678,14064,8650899
1,5678,14069,8650913
1,5678,14071,8650921
1,5678,14072,8650923
1,5678,14074,8650929
1,5678,14084,8651072
1,5678,14086,8651076
1,5678,14089,8651081
1,5678,14090,8651094
1,5678,14105,8651114
1,5678,14125,8651141
1,5678,14142,8651320
1,5678,14182,8651527
1,5678,14202,8651657
1,5678,14206,8651773
1,5678,14211,8651791
1,5678,14234,8651925
1,5678,14237,8651937
1,5678,14245,8651989
1,5678,14277,8652075
1,5678,14293,8652145
1,5678,14297,8652305
98,226993,1353,8652374
1,5678,14319,8652763
1,5678,14336,8653609
1,5678,14345,8653954
1,5724,123998,8653990
1,5678,14364,8654181
1,3066,121360,8654203
1,5678,14373,8654346
1,5678,14384,8654548
1,5735,120054,8654592
1,5678,14406,8654876
1,5678,14411,8654931
1,3066,121376,8655829
1,5724,124858,8655878
1,5678,14488,8656289
1,4873,448,8656551
1,5678,14508,8656666
1,5678,14513,8656782
1,5678,14535,8656978
1,5678,14546,8657098
1,3066,121389,8657102
1,5678,14561,8657119
1,123026,726753,8657299
1,5678,14584,8657343
1,4873,454,8660710
1,5778,278607,8661147
1,5678,14681,8661644
1,5678,14685,8661696
1,3066,121461,8661755
1,5724,126078,8663255
1,5678,14735,8664574
98,702005,357,8664621
1,3662,20137600,8664690
1,3066,121491,8665543
1,5678,14739,8665648
1,5678,14742,8666068
1,105155,22,8666652
1,123026,726764,8666987
1,5678,14755,8668198
1,5704,0000300A,8671248
1,5678,14781,8672728
1,4656,156,8673089
1,123026,726781,8674359
1,123026,726784,8681736
1,358,99661,8682579
98,303095,105,8683439
1,5678,14863,8684042
1,5678,14897,8684406
1,101027,1300119,8686223
1,917,23184,8687947
1,4738,130073,8689617
1,917,23291,8690070
1,917,23313,8690543
1,5789,218418,8690773
1,5678,14957,8691156
1,7680,13061,8693480
1,4071,23008,8696158
1,4071,23059,8696789
1,4071,23391,8697026
1,5681,29345,8697076
1,4071,23412,8697738
1,4071,23438,8697966
1,358,99828,8699818
1,5678,14982,8700848
1,406,13013,8702909
1,5789,218697,8706417
1,358,99909,8706840
1,5789,218754,8706900
1,5789,218762,8707011
1,4387,130104,8707922
1,4387,130111,8707934
1,5764,3090279,8709162
1,5789,218839,8711216
1,4776,2010713,8712160
1,1781,71493,8713479
1,5678,15008,8713755
1,3066,121586,8715588
1,998,33589,8716057
1,7680,13556,8716856
1,7680,13564,8717109
1,7867,201170,8718230
1,5678,15029,8720394
1,2344,130673,8720883
1,4672,30110,8720948
1,4961,DN583752,8723921
1,4961,DC591009,8723922
1,5678,15049,8724775
1,4961,DT566546,8724822
1,4961,DT566799,8724843
1,4961,DT567627,8724854
1,4961,DT567638,8724866
1,4961,DT567650,8724877
1,4961,DN585571,8724911
1,4961,DN585594,8724944
1,4961,DH562948,8725013
1,4961,DH564497,8725070
1,4961,DH564512,8725083
1,4961,DR606866,8725123
1,4961,DT567655,8725201
1,4961,DH564096,8725210
1,4961,DH564351,8725211
1,4961,DC592983,8725226
1,4961,DC593009,8725234
1,4961,DT566802,8726812
1,4961,DT567976,8726845
1,4961,DH564874,8726851
1,4961,DT568656,8726879
1,4961,DT568785,8726928
1,4961,DN586704,8726964
1,4961,DN586707,8726967
1,4961,DH565043,8727044
1,4961,DH565053,8727052
1,4961,DH565625,8727083
1,4961,DR607663,8727137
1,4961,DH565882,8727192
1,4961,DR608162,8727202
1,4961,DC596999,8727206
1,4961,DC597008,8727208
1,4961,DC597031,8727222
1,4961,DC597033,8727224
1,4961,DL552688,8727452
1,4961,DC592968,8727460
1,4961,DN586718,8728173
1,5678,15054,8729397
1,4961,DC597271,8729873
1,4961,DL557681,8730634
1,4961,DN587844,8730670
1,4961,DN587855,8730685
1,4961,DH567801,8730737
1,4961,DH567834,8730749
1,4961,DR609578,8730763
1,4961,DR610273,8730806
1,4961,DC601211,8730848
1,4961,DH567817,8730867
1,4961,DR610306,8730879
1,4961,DC601186,8730885
1,4961,DC601210,8730899
1,4961,DC601223,8730905
1,4961,DC597154,8730919
1,4961,DC597155,8730920
1,4961,DH567851,8732069
1,4961,DC601200,8732073
1,4961,DL557828,8733093
1,5393,292073,8734555
1,4905,9380,8735067
1,4961,DT575195,8735645
1,4961,DH577104,8735656
1,4961,DH577500,8735676
1,4961,DR622731,8735693
1,4961,DR622707,8735708
1,4961,DR622724,8735715
1,4961,DH580732,8738965
1,4961,DR625095,8739634
1,4961,DR625103,8739635
1,4961,DR625105,8739636
1,4961,DR625110,8739637
1,4961,DR630881,8740541
1,101027,1300403,8740652
1,4961,DR632903,8741105
1,4961,DR632912,8741106
1,4961,DR632917,8741108
1,4961,DT587358,8743035
1,4961,DT587364,8743038
1,4961,DN604481,8743103
1,4961,DR633902,8743180
1,4961,DR633922,8743197
1,4961,DR633987,8743261
1,4961,DC615978,8743285
1,4961,DC615992,8743300
1,4961,DC615995,8743302
1,4961,DC616025,8743321
1,4961,DT587353,8743460
1,4961,DC616011,8743480
1,4961,DT588356,8744058
1,4961,DT590873,8746161
1,4961,DT591162,8746285
1,4961,DT591185,8746305
1,4961,DL570721,8746320
1,4961,DL570725,8746321
1,4961,DL570733,8746326
1,4961,DN605451,8746375
1,4961,DN605452,8746376
1,4961,DN605470,8746418
1,4961,DN605481,8746428
1,4961,DN605517,8746455
1,4961,DN605555,8746491
1,4961,DN605561,8746497
1,4961,DN605611,8747009
1,4961,DN605652,8747044
1,4961,DN605739,8747129
1,4961,DH591112,8747176
1,4961,DH591208,8747400
1,4961,DR634830,8747440
1,4961,DC616531,8747461
1,4961,DC616570,8747514
1,4961,DC616572,8747517
1,4961,DC616579,8747521
1,4961,DH591090,8747559
1,4961,DH591121,8747560
1,4961,DH591162,8747564
1,4961,DH591166,8747565
1,4961,DH591169,8747567
1,4961,DH591191,8747576
1,4961,DH591200,8747581
1,4961,DH591205,8747584
1,4961,DC616540,8747596
1,4961,DC616554,8747602
1,4961,DC616555,8747603
1,4961,DC616557,8747604
1,4961,DC616559,8747605
1,4961,DC616574,8747609
1,4961,DC616628,8747617
1,800035,2012003,8750126
1,5678,15091,8750551
1,4961,DR643090,8752554
1,4961,DC643666,8752560
1,4961,DN618037,8753149
1,4961,DC645840,8753168
1,5835,DF3J53  ,8758592
98,308342,725,8764641
1,4961,DC654466,8764832
1,4961,DC655565,8764835
1,4961,DD257629,8766185
1,6403,279189,8766323
1,5789,219055,8767935
1,4961,DD261837,8770873
1,4961,DD284199,8777113
1,123026,726808,8777168
1,4672,30204,8779562
1,4071,23512,8779678
1,4071,23542,8780525
1,3652,93826,8781527
1,6976,496429,8781851
1,4738,130493,8782195
1,4961,EC100840,8782667
1,5724,126616,8782880
1,4961,EC100873,8785054
1,4961,EC100820,8785601
1,4961,DD291519,8790450
1,4961,DS617703,8790485
1,4961,DR711024,8791214
1,4961,ED508890,8791217
1,4961,ED508892,8791219
1,4961,ED508894,8791221
1,4961,ED508904,8791230
1,4961,ED508920,8791245
1,4961,ED509526,8791272
1,4961,EC133486,8791284
1,4961,DS621829,8792427
1,4961,DS621839,8792436
1,4961,DS621842,8792439
1,4961,DS621846,8792441
1,4961,ED511900,8792506
1,5678,15158,8792683
1,6403,279553,8794369
1,4961,DD298294,8795909
1,4961,DS627637,8795942
1,4961,DS627660,8795965
1,4961,EC138654,8795969
1,4961,DS631909,8796091
1,4961,DS631900,8796197
1,6403,279823,8796240
1,4961,DD298484,8799105
1,4961,DD299365,8799119
1,4961,DS632240,8799179
1,5853,1002,8810767
1,4961,ED535601,8811684
1,4961,ED536015,8811690
1,4961,DD307222,8812958
1,4961,DH691574,8823836
1,4961,DR760091,8825390
1,4961,EC174408,8827038
1,4961,EC177574,8827211
1,4961,DS661834,8830499
1,4961,DC678660,8831110
1,4961,EC182900,8831593
1,4961,DS722063,8858682
1,4961,DD325047,8863821
1,4961,EH105130,8866978
1,4961,ED652949,8908042
1,4961,ER184480,8913797
1,4961,ES168579,8921201
1,4961,EH149225,8921234
1,105155,264,9025991
1,104525,3218944,59019970
1,116710,3432952,59044976
1,140716,92062,59182998
1,108267,9855185,59237679
1,150716,88942,59256795
1,116710,9908392,59261400
1,140016,9912070,59264302
1,140016,9915037,59266719
1,150716,50037,59270600
1,140016,9934664,59283519
