File Name,Date,Time,Connector Name,Records,Duration (ms)
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:28:22,IncrementalIndividualConnector,19,22000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:29:17,IncrementalVehicleConnector,399,17000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:30:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:30:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:30:20,IncrementalIndividualConnector,19,20000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:32:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:32:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:32:23,IncrementalIndividualConnector,19,23000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:33:45,IncrementalVehicleConnector,399,45000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:34:03,IncrementalSecurityConnector,0,3000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:34:21,IncrementalLevelStructureConnector,0,21000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:34:32,IncrementalIndividualConnector,19,32000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:36:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:36:15,IncrementalLevelStructureConnector,0,15000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:36:27,IncrementalIndividualConnector,19,27000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:37:39,IncrementalVehicleConnector,399,39000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:38:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:38:11,IncrementalLevelStructureConnector,0,11000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:38:25,IncrementalIndividualConnector,19,25000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:40:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:40:12,IncrementalLevelStructureConnector,0,12000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:40:23,IncrementalIndividualConnector,19,23000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:41:47,IncrementalVehicleConnector,399,47000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:42:01,IncrementalSecurityConnector,0,1000
c:\Attivio\September2014\Connectors\attivio.log.2014-04-24,2014-04-24,00:42:11,IncrementalLevelStructureConnector,0,11000
